RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,TotalLatePays,DebtToIncomeRatio,CreditDensity,ActualDefault,DefaultProbability,CreditScore,ScoreBand,Decision
0.0,39,0,0.412698413,8000.0,7,0,1,0,2.0,0,3301.5873039999997,0.3167420814479638,0,0.22210939037226599,523,501-600,MANUAL REVIEW
0.013843976,59,0,0.10267398,5833.0,6,0,0,0,0.0,0,598.89732534,0.14251781472684086,0,0.148663876346846,537,501-600,MANUAL REVIEW
0.000155035,59,0,0.491822222,11249.0,16,0,3,0,2.0,0,5532.508175278,0.38004750593824227,0,0.22349196069415186,523,501-600,MANUAL REVIEW
0.040508242,39,0,10.0,5400.0,11,0,0,0,0.0,0,54000.0,0.4977375565610859,0,0.2232538373861765,523,501-600,MANUAL REVIEW
0.257563644,42,0,0.333333333,7400.0,15,0,1,0,1.0,0,2466.6666642,0.597609561752988,0,0.38120889810522046,501,501-600,MANUAL REVIEW
0.566811953,43,0,0.428012693,13550.0,15,0,2,0,4.0,0,5799.57199015,0.5747126436781609,0,0.5906852106860555,476,300-500,DECLINE
0.134773913,45,0,0.251774823,10000.0,6,0,2,0,6.0,0,2517.7482299999997,0.21352313167259784,0,0.3025198344004229,511,501-600,MANUAL REVIEW
0.9999999,50,98,0.0,1350.0,0,98,0,98,0.0,294,0.0,0.0,1,1.0,300,300-500,DECLINE
0.094621057,72,0,10.0,5400.0,13,0,0,0,0.0,0,54000.0,0.23593466424682394,0,0.15932530628388678,535,501-600,MANUAL REVIEW
0.002903132,30,0,1.911668484,916.0,7,0,1,0,0.0,0,1751.088331344,0.5343511450381679,0,0.2517917012646732,518,501-600,MANUAL REVIEW
0.989400353,51,0,0.87424362,3800.0,6,0,2,0,0.0,0,3322.125756,0.1759530791788856,0,0.7255592173353211,459,300-500,DECLINE
0.260255845,69,0,0.233622731,3800.0,5,0,1,0,0.0,0,887.7663778,0.09596928982725528,0,0.22865204927690314,522,501-600,MANUAL REVIEW
0.330920495,45,0,3.013732834,800.0,11,0,2,0,0.0,0,2410.9862672,0.39145907473309605,0,0.39450586465106025,499,300-500,DECLINE
0.9999999,61,0,0.0,3659.0,0,0,0,1,2.0,1,0.0,0.0,0,0.6142793500860967,473,300-500,DECLINE
0.063629759,75,0,10.0,5400.0,6,0,1,0,0.0,0,54000.0,0.10327022375215146,0,0.13245119862150004,541,501-600,MANUAL REVIEW
0.889577288,47,0,0.092590741,10000.0,4,0,0,0,0.0,0,925.90741,0.13289036544850497,0,0.6125224455172036,473,300-500,DECLINE
0.009124772,62,0,0.002352388,4250.0,1,0,0,0,1.0,0,9.997649,0.022172949002217293,0,0.13436536904581,540,501-600,MANUAL REVIEW
0.534949046,49,0,0.725689405,6200.0,12,0,2,0,4.0,0,4499.274311,0.37383177570093457,0,0.5531698853293981,480,300-500,DECLINE
0.658581183,53,0,0.321926625,9321.0,9,0,2,0,0.0,0,3000.678071625,0.2493074792243767,0,0.5314803838247698,483,300-500,DECLINE
0.171521773,46,0,0.69050476,12500.0,11,0,5,0,2.0,0,8631.309500000001,0.37800687285223367,0,0.36414694628437944,503,501-600,MANUAL REVIEW
0.021008224,66,0,10.0,5400.0,11,0,0,0,0.0,0,54000.0,0.2240325865580448,0,0.1431325232606609,538,501-600,MANUAL REVIEW
